"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 29 06:22:23 UTC 2024","Fri Mar 29 06:22:31 UTC 2024","7399","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Fri Mar 29 03:48:51 UTC 2024","Fri Mar 29 03:50:02 UTC 2024","71093","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Fri Mar 29 04:09:21 UTC 2024","Fri Mar 29 04:09:34 UTC 2024","12389","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Fri Mar 29 03:51:47 UTC 2024","Fri Mar 29 03:52:04 UTC 2024","17389","","9. Client Portal - Home","","","","1. Check links",""
"passed","Fri Mar 29 04:12:46 UTC 2024","Fri Mar 29 04:12:47 UTC 2024","1230","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Fri Mar 29 03:14:13 UTC 2024","Fri Mar 29 03:14:17 UTC 2024","4575","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Mar 29 06:23:35 UTC 2024","Fri Mar 29 06:24:42 UTC 2024","67073","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Fri Mar 29 04:36:56 UTC 2024","Fri Mar 29 04:36:58 UTC 2024","1368","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Fri Mar 29 03:37:45 UTC 2024","Fri Mar 29 03:38:44 UTC 2024","58914","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Fri Mar 29 02:58:24 UTC 2024","Fri Mar 29 02:58:29 UTC 2024","4107","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Mar 29 03:38:46 UTC 2024","Fri Mar 29 03:38:52 UTC 2024","5486","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Fri Mar 29 06:08:51 UTC 2024","Fri Mar 29 06:08:57 UTC 2024","6484","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Fri Mar 29 02:58:05 UTC 2024","Fri Mar 29 02:58:17 UTC 2024","12150","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Mar 29 03:38:55 UTC 2024","Fri Mar 29 03:39:51 UTC 2024","56006","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Fri Mar 29 02:40:15 UTC 2024","Fri Mar 29 02:40:24 UTC 2024","8316","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Fri Mar 29 06:06:23 UTC 2024","Fri Mar 29 06:06:25 UTC 2024","2462","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Fri Mar 29 04:15:23 UTC 2024","Fri Mar 29 04:15:24 UTC 2024","785","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Fri Mar 29 03:17:32 UTC 2024","Fri Mar 29 03:17:44 UTC 2024","12537","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Fri Mar 29 03:46:29 UTC 2024","Fri Mar 29 03:46:39 UTC 2024","10013","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Fri Mar 29 03:39:52 UTC 2024","Fri Mar 29 03:39:54 UTC 2024","2544","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Fri Mar 29 05:59:00 UTC 2024","Fri Mar 29 06:03:06 UTC 2024","246265","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Fri Mar 29 06:06:13 UTC 2024","Fri Mar 29 06:06:23 UTC 2024","9683","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"failed","Fri Mar 29 04:59:52 UTC 2024","Fri Mar 29 05:02:22 UTC 2024","150351","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Fri Mar 29 05:58:45 UTC 2024","Fri Mar 29 05:58:59 UTC 2024","14293","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Fri Mar 29 02:44:05 UTC 2024","Fri Mar 29 02:44:10 UTC 2024","4888","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Fri Mar 29 06:24:45 UTC 2024","Fri Mar 29 06:24:51 UTC 2024","5289","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Fri Mar 29 03:01:47 UTC 2024","Fri Mar 29 03:01:59 UTC 2024","11899","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Fri Mar 29 03:46:27 UTC 2024","Fri Mar 29 03:46:29 UTC 2024","1615","","6. Company Account","","","","6. Review Review Page",""
"passed","Fri Mar 29 02:45:16 UTC 2024","Fri Mar 29 02:46:09 UTC 2024","53136","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Fri Mar 29 06:09:11 UTC 2024","Fri Mar 29 06:09:11 UTC 2024","906","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Fri Mar 29 03:42:35 UTC 2024","Fri Mar 29 03:42:43 UTC 2024","8249","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Fri Mar 29 03:46:13 UTC 2024","Fri Mar 29 03:46:17 UTC 2024","3972","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Fri Mar 29 03:01:47 UTC 2024","Fri Mar 29 03:01:47 UTC 2024","201","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Fri Mar 29 03:38:52 UTC 2024","Fri Mar 29 03:38:55 UTC 2024","3680","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Fri Mar 29 06:11:20 UTC 2024","Fri Mar 29 06:11:28 UTC 2024","8337","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Fri Mar 29 06:08:57 UTC 2024","Fri Mar 29 06:08:58 UTC 2024","316","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Fri Mar 29 03:34:16 UTC 2024","Fri Mar 29 03:34:23 UTC 2024","7471","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"failed","Fri Mar 29 04:57:14 UTC 2024","Fri Mar 29 04:59:52 UTC 2024","157633","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Fri Mar 29 06:22:36 UTC 2024","Fri Mar 29 06:23:01 UTC 2024","25113","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Fri Mar 29 06:11:28 UTC 2024","Fri Mar 29 06:11:48 UTC 2024","19950","","21. Forgot password function","","","","2. Reset password",""
"passed","Fri Mar 29 03:45:33 UTC 2024","Fri Mar 29 03:45:49 UTC 2024","16488","","6. Company Account","","","","1. Validate login credentials",""
